cell_id,lat_center,lon_center,count
0,24.25,-110.25,38
1,24.25,-104.75,1418
2,24.75,-107.25,207
3,24.75,-81.75,170
4,24.75,-81.25,249
5,24.75,-80.75,159
6,25.25,-105.25,23
7,25.25,-101.25,48
8,25.25,-100.75,69
9,25.25,-100.25,92
10,25.25,-80.75,144
11,25.25,-80.25,370
12,25.75,-103.25,87
13,25.75,-100.75,107
14,25.75,-100.25,841
15,25.75,-81.75,162
16,25.75,-81.25,394
17,25.75,-80.75,302
18,25.75,-80.25,1611
19,26.25,-82.25,75
20,26.25,-81.75,1077
21,26.25,-81.25,418
22,26.25,-80.75,201
23,26.25,-80.25,1912
24,26.75,-82.25,362
25,26.75,-81.75,1522
26,26.75,-81.25,494
27,26.75,-80.75,403
28,26.75,-80.25,1149
29,26.75,-78.75,296
30,27.25,-109.25,24
31,27.25,-82.75,1749
32,27.25,-82.25,3593
33,27.25,-81.75,543
34,27.25,-81.25,495
35,27.25,-80.75,570
36,27.25,-80.25,1291
37,27.75,-111.25,53
38,27.75,-110.75,101
39,27.75,-97.75,43
40,27.75,-97.25,337
41,27.75,-82.75,2412
42,27.75,-82.25,2950
43,27.75,-81.75,748
44,27.75,-81.25,190
45,27.75,-80.75,726
46,27.75,-80.25,841
47,28.25,-111.25,24
48,28.25,-98.25,20
49,28.25,-97.75,97
50,28.25,-97.25,27
51,28.25,-96.75,24
52,28.25,-82.75,865
53,28.25,-82.25,1651
54,28.25,-81.75,1515
55,28.25,-81.25,1611
56,28.25,-80.75,859
57,28.75,-111.25,43
58,28.75,-110.75,105
59,28.75,-106.25,25
60,28.75,-99.75,58
61,28.75,-99.25,21
62,28.75,-98.25,217
63,28.75,-96.75,37
64,28.75,-82.75,261
65,28.75,-82.25,1007
66,28.75,-81.75,1427
67,28.75,-81.25,2438
68,28.75,-80.75,535
69,29.25,-111.25,35
70,29.25,-110.75,77
71,29.25,-99.25,24
72,29.25,-98.75,593
73,29.25,-98.25,1067
74,29.25,-96.25,104
75,29.25,-95.75,111
76,29.25,-95.25,124
77,29.25,-94.75,95
78,29.25,-90.75,66
79,29.25,-82.75,420
80,29.25,-82.25,1258
81,29.25,-81.75,464
82,29.25,-81.25,2323
83,29.25,-80.75,319
84,29.75,-98.75,1686
85,29.75,-98.25,3072
86,29.75,-97.75,350
87,29.75,-97.25,119
88,29.75,-96.75,171
89,29.75,-96.25,136
90,29.75,-95.75,1707
91,29.75,-95.25,1893
92,29.75,-94.75,172
93,29.75,-94.25,44
94,29.75,-93.25,75
95,29.75,-91.75,115
96,29.75,-91.25,84
97,29.75,-90.75,239
98,29.75,-90.25,1925
99,29.75,-89.75,23
100,29.75,-85.25,527
101,29.75,-84.75,550
102,29.75,-84.25,117
103,29.75,-83.25,318
104,29.75,-82.75,981
105,29.75,-82.25,1574
106,29.75,-81.75,1142
107,29.75,-81.25,1414
108,30.25,-99.25,24
109,30.25,-98.75,32
110,30.25,-98.25,707
111,30.25,-97.75,11348
112,30.25,-97.25,343
113,30.25,-96.75,262
114,30.25,-96.25,375
115,30.25,-95.75,472
116,30.25,-95.25,499
117,30.25,-94.25,28
118,30.25,-93.25,578
119,30.25,-92.25,104
120,30.25,-91.25,665
121,30.25,-90.75,357
122,30.25,-90.25,725
123,30.25,-89.75,542
124,30.25,-89.25,253
125,30.25,-88.75,549
126,30.25,-88.25,76
127,30.25,-87.75,203
128,30.25,-87.25,1380
129,30.25,-86.75,332
130,30.25,-86.25,375
131,30.25,-85.75,1434
132,30.25,-85.25,511
133,30.25,-84.75,392
134,30.25,-84.25,1757
135,30.25,-83.75,705
136,30.25,-83.25,578
137,30.25,-82.75,1052
138,30.25,-82.25,794
139,30.25,-81.75,6741
140,30.25,-81.25,1564
141,30.75,-104.75,21
142,30.75,-98.75,40
143,30.75,-98.25,272
144,30.75,-97.75,1449
145,30.75,-97.25,270
146,30.75,-96.75,122
147,30.75,-96.25,105
148,30.75,-95.75,124
149,30.75,-92.25,151
150,30.75,-91.75,91
151,30.75,-91.25,64
152,30.75,-90.75,34
153,30.75,-90.25,52
154,30.75,-89.75,130
155,30.75,-89.25,203
156,30.75,-88.75,21
157,30.75,-88.25,285
158,30.75,-87.75,417
159,30.75,-87.25,1996
160,30.75,-86.75,686
161,30.75,-86.25,557
162,30.75,-85.75,776
163,30.75,-85.25,1174
164,30.75,-84.75,651
165,30.75,-84.25,545
166,30.75,-83.75,363
167,30.75,-83.25,1281
168,30.75,-82.75,165
169,30.75,-82.25,413
170,30.75,-81.75,1125
171,30.75,-81.25,330
172,31.25,-111.25,38
173,31.25,-110.75,126
174,31.25,-110.25,132
175,31.25,-109.75,240
